t, adc1, adc2, adc3
0.000000, 3071.000000, 2047.000000, 1024.000000
0.020000, 3072.000000, 2047.000000, 1025.000000
0.040000, 2038.000000, 2035.000000, 2035.000000
0.060000, 2037.000000, 2037.000000, 2037.000000
0.080000, 2038.000000, 2035.000000, 2036.000000
0.100000, 2036.000000, 2037.000000, 2037.000000
0.120000, 2037.000000, 2037.000000, 2035.000000
0.140000, 2038.000000, 2037.000000, 2036.000000
0.160000, 2037.000000, 2037.000000, 2037.000000
0.180000, 2038.000000, 2038.000000, 2037.000000
0.200000, 2036.000000, 2038.000000, 2035.000000
0.220000, 2037.000000, 2039.000000, 2035.000000
0.240000, 2037.000000, 2038.000000, 2036.000000
0.260000, 2038.000000, 2037.000000, 2036.000000
0.280000, 2037.000000, 2037.000000, 2036.000000
0.300000, 2038.000000, 2036.000000, 2036.000000
0.320000, 2038.000000, 2037.000000, 2037.000000
0.340000, 2037.000000, 2038.000000, 2035.000000
0.360000, 2037.000000, 2037.000000, 2036.000000
0.380000, 2038.000000, 2036.000000, 2039.000000
0.400000, 2036.000000, 2037.000000, 2037.000000
0.420000, 2038.000000, 2039.000000, 2037.000000
0.440000, 2036.000000, 2037.000000, 2036.000000
0.460000, 2039.000000, 2038.000000, 2037.000000
0.480000, 2036.000000, 2038.000000, 2035.000000
0.500000, 2038.000000, 2037.000000, 2034.000000
0.520000, 2038.000000, 2029.000000, 2036.000000
0.540000, 2037.000000, 2036.000000, 2031.000000
0.560000, 2038.000000, 2036.000000, 2038.000000
0.580000, 2037.000000, 2038.000000, 2037.000000
0.600000, 2037.000000, 2036.000000, 2035.000000
0.620000, 2037.000000, 2037.000000, 2039.000000
0.640000, 2038.000000, 2038.000000, 2037.000000
0.660000, 2038.000000, 2040.000000, 2034.000000
0.680000, 2038.000000, 2036.000000, 2036.000000
0.700000, 2036.000000, 2037.000000, 2036.000000
0.720000, 2037.000000, 2038.000000, 2035.000000
0.740000, 2037.000000, 2038.000000, 2037.000000
0.760000, 2037.000000, 2037.000000, 2036.000000
0.780000, 2039.000000, 2038.000000, 2035.000000
0.800000, 2036.000000, 2039.000000, 2022.000000
0.820000, 2038.000000, 2038.000000, 2036.000000
0.840000, 2038.000000, 2036.000000, 2037.000000
0.860000, 2037.000000, 2038.000000, 2037.000000
0.880000, 2037.000000, 2037.000000, 2038.000000
0.900000, 2037.000000, 2038.000000, 2036.000000
0.920000, 2037.000000, 2038.000000, 2038.000000
0.940000, 2038.000000, 2037.000000, 2036.000000
0.960000, 2038.000000, 2038.000000, 2037.000000
0.980000, 2036.000000, 2038.000000, 2035.000000
1.000000, 2036.000000, 2038.000000, 2036.000000
1.020000, 2038.000000, 2037.000000, 2036.000000
1.040000, 2037.000000, 2036.000000, 2035.000000
1.060000, 2038.000000, 2037.000000, 2036.000000
1.080000, 2037.000000, 2038.000000, 2033.000000
1.100000, 2038.000000, 2038.000000, 2036.000000
1.120000, 2037.000000, 2038.000000, 2035.000000
1.140000, 2037.000000, 2039.000000, 2035.000000
1.159999, 2036.000000, 2037.000000, 2037.000000
1.179999, 2038.000000, 2037.000000, 2035.000000
1.199999, 2038.000000, 2038.000000, 2037.000000
1.219999, 2037.000000, 2034.000000, 2035.000000
1.239999, 2037.000000, 2037.000000, 2036.000000
1.259999, 2039.000000, 2038.000000, 2035.000000
1.279999, 2037.000000, 2037.000000, 2036.000000
1.299999, 2037.000000, 2036.000000, 2036.000000
1.319999, 2036.000000, 2040.000000, 2036.000000
1.339999, 2038.000000, 2037.000000, 2038.000000
1.359999, 2036.000000, 2039.000000, 2037.000000
1.379999, 2038.000000, 2038.000000, 2037.000000
1.399999, 2038.000000, 2035.000000, 2040.000000
1.419999, 2036.000000, 2037.000000, 2036.000000
1.439999, 2037.000000, 2038.000000, 2037.000000
1.459999, 2037.000000, 2039.000000, 2034.000000
1.479999, 2037.000000, 2034.000000, 2036.000000
1.499999, 2036.000000, 2039.000000, 2037.000000
1.519999, 2037.000000, 2027.000000, 2037.000000
1.539999, 2038.000000, 2037.000000, 2072.000000
1.559999, 2038.000000, 2036.000000, 2036.000000
1.579999, 2037.000000, 2037.000000, 2035.000000
1.599999, 2037.000000, 2038.000000, 2038.000000
1.619999, 2037.000000, 2039.000000, 2037.000000
1.639999, 2037.000000, 2038.000000, 2035.000000
1.659999, 2036.000000, 2039.000000, 2037.000000
1.679999, 2037.000000, 2037.000000, 2035.000000
1.699999, 2038.000000, 2037.000000, 2036.000000
1.719999, 2036.000000, 2037.000000, 2034.000000
1.739999, 2038.000000, 2038.000000, 2036.000000
1.759999, 2035.000000, 2038.000000, 2037.000000
1.779999, 2038.000000, 2038.000000, 2036.000000
1.799999, 2037.000000, 2036.000000, 2036.000000
1.819999, 2037.000000, 2037.000000, 2035.000000
1.839999, 2037.000000, 2039.000000, 2036.000000
1.859999, 2036.000000, 2021.000000, 2035.000000
1.879999, 2038.000000, 2037.000000, 2036.000000
1.899999, 2038.000000, 2038.000000, 2036.000000
1.919999, 2037.000000, 2039.000000, 2035.000000
1.939999, 2037.000000, 2038.000000, 2035.000000
1.959999, 2037.000000, 2038.000000, 2033.000000
1.979999, 2037.000000, 2038.000000, 2036.000000
1.999999, 2037.000000, 2037.000000, 2035.000000
2.019999, 2037.000000, 2036.000000, 2035.000000
2.039999, 2039.000000, 2040.000000, 2038.000000
2.059999, 2038.000000, 2037.000000, 2036.000000
2.079999, 2038.000000, 2037.000000, 2038.000000
2.099999, 2038.000000, 2037.000000, 2038.000000
2.119999, 2036.000000, 2039.000000, 2036.000000
2.139999, 2038.000000, 2038.000000, 2037.000000
2.159999, 2036.000000, 2037.000000, 2034.000000
2.179999, 2036.000000, 2037.000000, 2033.000000
2.199999, 2037.000000, 2034.000000, 2035.000000
2.219999, 2036.000000, 2038.000000, 2036.000000
2.239999, 2037.000000, 2038.000000, 2035.000000
2.259999, 2037.000000, 2037.000000, 2035.000000
2.279999, 2038.000000, 2037.000000, 2035.000000
